mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_device,param_gamma,param_learning_rate,param_max_depth,param_subsample,param_tree_method,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4633607387542724,0.01678828674653139,0.004855442047119141,0.00040273660171548056,cpu,1,0.1,3,1,hist,"{'device': 'cpu', 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1, 'tree_method': 'hist'}",-0.4357951391453158,-0.4601699422421178,-0.46002900074955344,-0.46772739312852696,-0.49200459122758206,-0.46314521329861924,0.01800249783303487,1
1.7906926155090332,0.13151127070078156,0.004742145538330078,0.00032629698805633695,cpu,0.1,0.1,3,1,hist,"{'device': 'cpu', 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1, 'tree_method': 'hist'}",-0.4408603360586465,-0.4589610348868969,-0.4600965153867195,-0.47577750425046766,-0.49742093717233027,-0.4666232655510122,0.018959606778343054,2
1.7561253547668456,0.025961124434915866,0.004924488067626953,0.0003658912736257073,cpu,0,0.1,3,1,hist,"{'device': 'cpu', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1, 'tree_method': 'hist'}",-0.439588391578812,-0.45986888493922573,-0.46204639784145163,-0.4766856279447697,-0.49653954330690825,-0.4669457691222335,0.018937626858275644,3
1.7122334003448487,0.03107630390561576,0.004937410354614258,0.00029948592772229086,cpu,0.001,0.1,3,1,hist,"{'device': 'cpu', 'gamma': 0.001, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1, 'tree_method': 'hist'}",-0.439588391578812,-0.45986888493922573,-0.4620463990971293,-0.4766856279447697,-0.49653954330690825,-0.46694576937336907,0.01893762679330414,4
1.7739662647247314,0.03414127424252148,0.0051825523376464845,0.00033228131099739046,cpu,0.01,0.1,3,1,hist,"{'device': 'cpu', 'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1, 'tree_method': 'hist'}",-0.4391531694364049,-0.4596289793796553,-0.46407295643282465,-0.4766787512402619,-0.49653954330690825,-0.46721467995921107,0.018996725551496535,5
1.7431198120117188,0.021114078504053523,0.004526090621948242,0.00015478705585435484,cpu,1,0.1,3,0.5,hist,"{'device': 'cpu', 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.5, 'tree_method': 'hist'}",-0.4450387324001618,-0.4700519945032389,-0.4540265970084203,-0.47654243131865653,-0.500405427872507,-0.46921303662059693,0.019195906238661728,6
2.523514986038208,0.04382512200208316,0.0049669742584228516,0.0004107566451191687,cpu,1,0.1,5,1,hist,"{'device': 'cpu', 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1, 'tree_method': 'hist'}",-0.4419981920588724,-0.47005846074619506,-0.4655610678946506,-0.4777435845144171,-0.4946255097606551,-0.46999736299495803,0.017147522160368276,7
1.7729032516479493,0.013292965938778564,0.004618597030639648,0.00016961463015925464,cpu,0.001,0.1,3,0.7,hist,"{'device': 'cpu', 'gamma': 0.001, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'tree_method': 'hist'}",-0.44283649557803617,-0.4741290478940655,-0.4782401033128725,-0.47647493646436695,-0.4806522961909854,-0.4704665758880653,0.0139793566565976,8
1.7863893508911133,0.01754206185655477,0.005143356323242187,0.0010301055794589744,cpu,0.01,0.1,3,0.7,hist,"{'device': 'cpu', 'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'tree_method': 'hist'}",-0.44285526735934233,-0.4741144087730754,-0.4782400880887735,-0.4769451250495831,-0.4806522961909854,-0.47056143709235193,0.014012808708085453,9
1.7708218097686768,0.06844836552858205,0.005097341537475586,0.0004694894055858417,cpu,0.1,0.1,3,0.7,hist,"{'device': 'cpu', 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'tree_method': 'hist'}",-0.4430205401214685,-0.4720036420074083,-0.47789356843501224,-0.4773238935407377,-0.48521224924737233,-0.4710907786703998,0.014651397288249374,10
2.0092522144317626,0.30633787473343627,0.005604362487792969,0.001373963246126129,cpu,0,0.1,3,0.7,hist,"{'device': 'cpu', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'tree_method': 'hist'}",-0.44283649557803617,-0.4741290478940655,-0.4782401033128725,-0.4764741959864315,-0.48505085649273166,-0.4713461398528275,0.014711813918881819,11
1.7303585529327392,0.0171888095940362,0.004844570159912109,0.0002587171217136773,cpu,1,0.1,3,0.7,hist,"{'device': 'cpu', 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'tree_method': 'hist'}",-0.4460067136925946,-0.4755287868621537,-0.48091716203765394,-0.4732893893772348,-0.4823447429658676,-0.47161735898710094,0.013233013336766995,12
5.2554620742797855,0.03594807656171347,0.005875539779663086,0.00027013742055924,cpu,0.01,0.1,5,0.7,hist,"{'device': 'cpu', 'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7, 'tree_method': 'hist'}",-0.4391698833360087,-0.46710628630650564,-0.46731055644892283,-0.49531357846820084,-0.492065728016752,-0.47219320651527796,0.020345641364928304,13
